index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
171,GREEDYFP,25,0.0264003831799183,0.0457623861695231,0.0807272751466572,0.1164548506603194,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204057,400.0,6,0.0357275755136622,0.0193620029896047
172,GREEDYFP,25,0.0088149178117053,0.0097909504495512,0.0412188038167904,0.0551988219100122,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204116,400.0,7,0.0139800180932218,0.0009760326378458
173,GREEDYFP,25,0.0103407241843013,0.0126109250965777,0.0488588716506402,0.0641997620417551,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204133,400.0,8,0.0153408903911149,0.0022702009122763
174,GREEDYFP,25,0.0310657536347881,0.0546586936987955,0.0862026502759056,0.1252435390514071,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204149,359.0,9,0.0390408887755014,0.0235929400640074
75,GREEDYFP,49,0.0014476537515325,0.0017393289339498,0.0203276456343619,0.0239583373423727,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185805,400.0,0,0.0036306917080108,0.0002916751824172
76,GREEDYFP,49,0.0011494039841953,0.0011833763539059,0.0172552046641932,0.0197039537567358,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185822,400.0,1,0.0024487490925426,3.397236971058176e-05
77,GREEDYFP,49,0.0033183646449986,0.0032012465987138,0.0308404647154998,0.0354942116591689,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185839,400.0,2,0.0046537469436691,0.0001171180462848
175,GREEDYFP,49,0.0014231516968569,0.0021547133987548,0.0206552712978286,0.0263793139289295,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204204,400.0,3,0.0057240426311008,0.0007315617018979
176,GREEDYFP,49,0.0305983112133227,0.0410262768052724,0.1116842797367538,0.1321083025173383,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204220,175.0,4,0.0204240227805844,0.0104279655919497
177,GREEDYFP,49,0.0008281582057073,0.0009151647534836,0.0139563513662706,0.0174907162841689,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204228,400.0,5,0.0035343649178983,8.700654777631111e-05
